SIRFER TCEA-IRMS-HO,,,,,,,,
Job #24- 215.1,,,Analyst:,,Suvankar Chakraborty,,,
Primary reference 1 (PLRM-1):  ,,DS,Primary reference 2 (PLRM-2): ,,ORX,,,
Secondary reference (SLRM): ,,POW,Wt% standard:,,,,,
Date loaded:,,,Date analyzed:,,6/02/2024,,,
SIRFER #,Original ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,ID on envelope,Other sample notes
,Sample ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,,
DS,DS,-172.8,6.0,6.0,22.4,3.7,,
d2HVSMOW = -172.7‰,DS,-173.7,5.7,5.9,22.4,3.8,,
d18OVSMOW = +6.02‰,DS,-173.8,6.1,5.7,21.5,3.7,,
,DS,-170.6,5.8,5.8,21.9,3.8,,
,DS,-172.6,6.4,5.9,22.3,3.8,,
,DS,-173.0,6.1,5.8,21.7,3.7,,
average,,-173,6.0,5.9,22.0,,,
standard uncertainty,,1.2,0.2,0.1,0.4,,,
,Sample ID,d2HVSMOW (‰),d18OVSMOW (‰),Wt% H,Wt% O,%O:%H ratio,,
ORX,ORX,-32.6,24.9,5.6,21.4,3.8,,
d2HVSMOW = -34.0‰,ORX,-34.5,25.0,5.7,21.7,3.8,,
d18OVSMOW = +25.09‰,ORX,-33.8,25.1,5.9,22.6,3.8,,
,ORX,-33.0,24.9,5.8,22.4,3.9,,
,ORX,-34.5,25.1,5.8,22.0,3.8,,
,ORX,-35.8,25.3,5.7,21.9,3.8,,
average,,-34.0,25.1,5.7,22.0,,,
standard uncertainty,,1.2,0.1,0.1,0.4,,,
Quality Control,,,,,,,,
,Sample ID,2H/1HVSMOW,18O/16OVSMOW,Wt% H,Wt% O,O:H ratio,,
POW,POW,-99.6,12.4,6.1,22.8,3.7,,
d2HVSMOW = -100.9‰,POW,-99.8,12.6,6.0,22.5,3.7,,
d18OVSMOW = +12.34‰,POW,-99.2,12.5,6.0,22.1,3.7,,
,POW,-100.1,12.5,5.9,21.9,3.7,,
,POW,-98.8,12.6,6.0,22.1,3.7,,
average,,-99.5,12.5,6.0,22.3,,,
standard uncertainty,,0.5,0.1,0.1,0.4,,,
acceptable range,d2HVSMOW,-102.9,,,,,,
1 sigma = 2.0,,-98.9,,,,,,
acceptable range,d18OVSMOW,,12.1,,,,,
1 sigma = 0.20,,,12.5,,,,,
